Year,CPI,Value of $1 in 1960 Dollars
1960,29.6,1.00
1961,30.3,1.02
1962,30.9,1.04
1963,31.3,1.06
1964,32.0,1.08
1965,32.8,1.11
1966,33.4,1.13
1967,33.9,1.14
1968,34.8,1.18
1969,36.7,1.24
1970,38.8,1.31
1971,40.5,1.37
1972,41.8,1.41
1973,44.4,1.50
1974,49.3,1.67
1975,53.8,1.82
1976,56.9,1.92
1977,60.6,2.05
1978,65.2,2.20
1979,72.6,2.45
1980,82.4,2.78
1981,90.9,3.07
1982,96.5,3.25
1983,99.6,3.36
1984,103.9,3.51
1985,107.6,3.63
1986,109.6,3.70
1987,113.6,3.84
1988,118.3,4.00
1989,124.0,4.20
1990,130.7,4.42
1991,136.2,4.60
1992,140.3,4.74
1993,144.5,4.88
1994,148.2,5.01
1995,152.4,5.15
1996,160.5,5.42
1997,160.5,5.42
1998,163.0,5.51
1999,166.6,5.63
2000,172.2,5.81
2001,177.1,5.97
2002,179.9,6.08
2003,184.0,6.22
2004,188.9,6.38
2005,195.3,6.60
2006,201.6,6.81
2007,207.3,7.00
2008,215.3,7.27
2009,214.5,7.25
2010,218.1,7.38
2011,224.9,7.59
2012,229.6,7.75
2013,233.0,7.87
2014,236.7,7.98
2015,237.0,8.00
2016,240.0,8.10
2017,245.1,8.28
2018,251.1,8.49
